experiment,condition,gpus,arrival,skew,tasks,steal_thr,mode,n,makespan_mean_ms,makespan_std_ms,tput_mean,tput_std,p99_mean_ms,p99_std_ms,imb_mean,imb_std,steals_mean,steals_std
mg41,steady/imbalanced,0,1,2,3,steady,imbalanced,32768,0.25,ferry-C,5,250.79,6.29,130725,3232,244.37,6.34,0.0398,0.0209,100.6,2.7
mg41,steady/imbalanced,0,1,2,3,steady,imbalanced,32768,0.25,one-steal-D1,5,282.14,10.18,116261,4188,275.57,10.15,0.1480,0.0279,17549.0,391.6
mg41,steady/imbalanced,0,1,2,3,steady,imbalanced,32768,0.25,half-steal-D2,5,249.67,7.00,131329,3777,243.41,6.92,0.0460,0.0216,45.6,2.7
trace,trace/arxiv,0,1,2,3,trace,imbalanced,33000,0.25,static-A,5,379.12,3.98,87052,908,378.71,3.89,1.3840,0.0000,0.0,0.0
trace,trace/arxiv,0,1,2,3,trace,imbalanced,33000,0.25,dyn-B,5,427.57,13.72,77245,2529,419.38,13.65,0.1102,0.0037,21312.2,61.9
trace,trace/arxiv,0,1,2,3,trace,imbalanced,33000,0.25,ferry-C,5,248.44,6.14,132895,3363,242.07,6.17,0.0458,0.0209,100.2,0.8
trace,trace/toolagent,0,1,2,3,trace,imbalanced,33000,0.25,static-A,5,378.47,4.41,87203,1013,378.10,4.41,1.3840,0.0000,0.0,0.0
trace,trace/toolagent,0,1,2,3,trace,imbalanced,33000,0.25,dyn-B,5,439.78,15.66,75116,2788,431.43,15.57,0.1204,0.0119,21466.0,183.5
trace,trace/toolagent,0,1,2,3,trace,imbalanced,33000,0.25,ferry-C,5,248.72,6.10,132739,3188,242.20,6.21,0.0444,0.0102,100.6,1.5
weak,N=1,0,steady,imbalanced,32768,0.25,static-A,3,394.16,1.83,83136,386,393.88,1.83,0.0000,0.0000,0.0,0.0
weak,N=1,0,steady,imbalanced,32768,0.25,dyn-B,3,571.23,1.06,57364,106,549.47,1.08,0.0000,0.0000,0.0,0.0
weak,N=1,0,steady,imbalanced,32768,0.25,ferry-C,3,343.15,2.18,95494,605,326.16,2.12,0.0000,0.0000,0.0,0.0
weak,N=2,0,1,steady,imbalanced,65536,0.25,static-A,3,752.64,2.13,87075,246,752.14,2.13,0.7940,0.0000,0.0,0.0
weak,N=2,0,1,steady,imbalanced,65536,0.25,dyn-B,3,1309.47,23.20,50058,880,1275.60,23.24,0.1637,0.0012,20666.3,37.9
weak,N=2,0,1,steady,imbalanced,65536,0.25,ferry-C,3,621.86,15.20,105429,2542,599.43,15.26,0.1670,0.0000,91.0,1.7
weak,N=3,0,1,2,steady,imbalanced,98304,0.25,static-A,3,1061.35,33.85,92686,3011,1060.58,33.83,1.1330,0.0000,0.0,0.0
weak,N=3,0,1,2,steady,imbalanced,98304,0.25,dyn-B,3,1556.74,4.57,63148,186,1521.58,4.55,0.0213,0.0150,52173.0,590.9
weak,N=3,0,1,2,steady,imbalanced,98304,0.25,ferry-C,3,787.09,42.03,125135,6739,763.75,42.84,0.1080,0.0166,204.7,2.1
